farmer_id,name,phone,state,land_area_acres,irrigation_type,bank_account
508,rajesh martinez,+91-9382565422,gujarat,219.86,sprinkler,missing
516,maria li,(521) 670-8793,maharashtra,483.72,sprinkler,missing
517,liam kim,+91-9010575952,florida,49.12,rainfed,missing
529,rahul lopez,+91-8735885154,tamil nadu,295.99,unknown,missing
533,kenji singh,+13725330629,karnataka,181.73,flood,missing
546,maria reddy,+91-8413739940,maharashtra,494.51,drip,missing
549,kenji davis,9251722237,florida,220.83,flood,missing
550,olivia kim,+91-9761961713,maharashtra,461.25,drip,missing
559,rahul lee,+91-9794613370,delhi,400.82,rainfed,missing
567,yuki reddy,9336466203,telangana,304,canal,missing
569,sneha joshi,(321) 341-5454,texas,308.8,sprinkler,missing
574,sneha jones,+91-7116391421,gujarat,258.61,canal,missing
584,maria johnson,9174712798,karnataka,33.44,flood,missing
588,vikram martinez,+91-8454780120,california,273.23,flood,missing
599,aarav martinez,+91-9643187163,gujarat,357.18,sprinkler,missing
616,sneha johnson,918914451462,gujarat,7.39,flood,missing
636,kenji williams,(485) 922-4816,gujarat,119,sprinkler,missing
642,vikram singh,+91-7770232338,florida,447.56,canal,missing
643,wei nair,9552319421,delhi,295.04,canal,missing
646,vikram jones,+16570757835,karnataka,209.7,unknown,missing
663,mohammed williams,(414) 504-7345,karnataka,185.51,canal,missing
684,sanya lopez,9525993823,delhi,343.57,rainfed,missing
702,rohan smith,(436) 276-3110,karnataka,457.33,canal,missing
708,james iyer,+91-7984686147,telangana,280.79,canal,missing
719,james patel,(912) 473-2732,telangana,269.37,rainfed,missing
720,james kumar,+91-7194793164,new york,278.05,drip,missing
722,aarav verma,+91-7355421478,california,122.78,canal,missing
723,ananya gupta,+91-8437152411,west bengal,419.85,canal,missing
732,maria reddy,9547085096,telangana,398.96,rainfed,missing
733,priya johnson,9294475885,rajasthan,106.26,sprinkler,missing
735,james jones,+91-9389618456,florida,368.79,sprinkler,missing
737,aiko kim,9156614255,karnataka,77.41,flood,missing
741,suresh patel,+91-9900782412,new york,39.44,drip,missing
754,fatima sharma,(659) 229-8183,rajasthan,63.84,flood,missing
766,mohammed sharma,9430546949,maharashtra,264.61,flood,missing
771,olivia zhang,(956) 421-3686,new york,246.25,rainfed,missing
780,liam davis,+18214097125,delhi,340.34,unknown,missing
788,arjun gupta,+91-9024769962,telangana,440.39,sprinkler,missing
790,liam park,9934802344,california,303.65,unknown,missing
795,james martinez,+13043501875,maharashtra,95.79,canal,missing
798,sanya gupta,(469) 570-8476,karnataka,293.28,rainfed,missing
800,kenji lee,+91-9306575791,maharashtra,498.44,canal,missing
805,vikram kim,+91-8140614062,new york,184.27,canal,missing
812,hiroshi garcia,+91-9796424660,telangana,302.35,sprinkler,missing
830,olivia li,(309) 334-1886,karnataka,226.84,canal,missing
836,suresh garcia,+91-7640650449,telangana,120.35,flood,missing
844,kenji johnson,+14665256504,maharashtra,108.94,canal,missing
849,ananya wang,+91-7437601826,florida,250.98,rainfed,missing
860,deepika iyer,(650) 596-5649,karnataka,342.77,unknown,missing
861,aarav reddy,9176641321,florida,166.44,flood,missing
872,deepika kim,(249) 507-6253,texas,73.21,canal,missing
875,wei garcia,918078233412,new york,9.18,drip,missing
876,wei smith,(925) 764-7602,tamil nadu,268.11,canal,missing
891,chen singh,+14630095234,karnataka,443.57,flood,missing
893,yuki lopez,(976) 109-2899,telangana,353.06,sprinkler,missing
908,chen kim,+16311035681,new york,112.92,flood,missing
909,deepika patel,+91-9982421054,tamil nadu,452.87,drip,missing
915,kavya davis,9352234259,karnataka,102.7,canal,missing
923,priya smith,+12218149920,california,499.61,flood,missing
940,rajesh martinez,+91-7029468077,texas,44.09,flood,missing
941,wei patel,(219) 961-1199,west bengal,278.2,canal,missing
949,deepika zhang,(277) 943-3901,delhi,394.37,flood,missing
950,noah patel,+91-8292296998,karnataka,130.31,sprinkler,missing
951,mohammed kumar,(566) 593-2839,west bengal,450.88,rainfed,missing
959,vikram zhang,+91-9908737633,maharashtra,35.51,sprinkler,missing
969,fatima verma,918184436378,florida,211.19,rainfed,missing
970,amit wang,(275) 679-6406,delhi,457.75,sprinkler,missing
973,rahul patel,9244523196,tamil nadu,213.9,sprinkler,missing
983,neha lopez,9217257352,florida,93.56,unknown,missing
984,pooja garcia,9641405670,gujarat,480.78,sprinkler,missing
985,amit williams,(628) 955-2906,maharashtra,489.22,sprinkler,missing
1,kenji kumar,9354747579,maharashtra,115.68,flood,unknown
8,vikram kim,(888) 749-1084,texas,302.28,canal,unknown
26,ananya sharma,+91-8732219009,california,486.92,sprinkler,unknown
30,amit lopez,(937) 868-6051,tamil nadu,277.77,sprinkler,unknown
39,yuki wang,+16821552557,west bengal,2.88,canal,unknown
41,kavya jones,+13769469326,west bengal,443.65,sprinkler,unknown
44,yuki martinez,9754043915,karnataka,111.59,drip,unknown
49,amit iyer,+91-9342989633,gujarat,382.9,flood,unknown
52,yuki zhang,+91-7197014709,new york,339.57,flood,unknown
58,priya garcia,917857667159,telangana,225.69,canal,unknown
65,carlos li,9657348166,tamil nadu,24.55,drip,unknown
76,rajesh kumar,+91-7988481011,florida,246.56,flood,unknown
81,ava lee,+91-8553521605,california,163.17,flood,unknown
82,chen smith,+91-7371923626,maharashtra,340.03,drip,unknown
83,fatima li,+91-9167475332,rajasthan,256.25,drip,unknown
84,suresh reddy,+91-9547566963,florida,364.04,canal,unknown
86,ananya wang,+91-8225174955,texas,249.37,canal,unknown
88,noah jones,+91-7311209206,california,373.86,drip,unknown
92,maria williams,(363) 468-1389,karnataka,245.07,drip,unknown
113,liam zhang,+18273028581,tamil nadu,293.07,canal,unknown
118,arjun davis,(577) 682-5218,telangana,272.82,rainfed,unknown
128,rahul lopez,+91-7850917409,delhi,101.39,drip,unknown
129,arjun kim,(948) 842-6264,tamil nadu,27.53,sprinkler,unknown
132,rohan kumar,9601511676,texas,118.21,canal,unknown
133,james sharma,9757010406,new york,7.24,canal,unknown
136,amit park,9525346755,new york,414.7,canal,unknown
139,suresh brown,(476) 160-4491,karnataka,319.98,sprinkler,unknown
149,james johnson,(515) 334-1385,florida,30.44,drip,unknown
167,aarav williams,+91-7761754392,new york,320.32,canal,unknown
186,rahul nair,9996371532,florida,367.97,drip,unknown
188,olivia sharma,+91-7044279141,west bengal,162.44,drip,unknown
191,deepika zhang,+91-8382331084,delhi,419.35,canal,unknown
193,aarav sharma,9644088466,texas,142.18,canal,unknown
197,sanya williams,917655064773,gujarat,455.33,sprinkler,unknown
203,vikram lee,(476) 904-6040,texas,408.48,sprinkler,unknown
205,emma wang,9527506240,telangana,80.29,rainfed,unknown
222,wei nair,(763) 584-7506,gujarat,331.66,rainfed,unknown
231,arjun joshi,9683338177,west bengal,382.87,sprinkler,unknown
232,suresh johnson,(459) 879-1554,rajasthan,247.11,rainfed,unknown
238,arjun patel,(751) 582-9479,west bengal,121.08,canal,unknown
248,kenji zhang,917272308694,new york,8.31,drip,unknown
249,emma wang,+12058647211,telangana,114.08,flood,unknown
274,rajesh davis,919288024806,gujarat,289.88,flood,unknown
277,amit joshi,9244072884,maharashtra,101.96,flood,unknown
280,rajesh nair,9576383724,maharashtra,462.82,canal,unknown
289,aiko nair,+16733165335,telangana,36.16,unknown,unknown
307,priya reddy,919765925502,delhi,490.94,sprinkler,unknown
315,rajesh nair,9577926482,west bengal,497.87,sprinkler,unknown
316,rohan davis,(204) 439-9474,california,368.12,canal,unknown
317,rajesh li,9564212694,rajasthan,485.07,flood,unknown
318,neha li,+91-7303450130,texas,193.82,canal,unknown
320,priya zhang,9400907520,california,316.23,canal,unknown
344,suresh reddy,(373) 549-2323,florida,47.29,sprinkler,unknown
356,aiko sharma,+13820915416,delhi,267.41,flood,unknown
358,yuki patel,+91-7982052733,maharashtra,396.13,canal,unknown
382,pooja joshi,917761574431,new york,452.39,canal,unknown
388,maria joshi,9412180745,karnataka,182.05,unknown,unknown
398,yuki smith,+91-8054768142,tamil nadu,164.99,flood,unknown
403,hiroshi kim,+91-7308295633,delhi,398.73,canal,unknown
407,yuki wang,+13865699949,florida,423.52,flood,unknown
413,aiko patel,+13973212132,rajasthan,131.34,canal,unknown
417,neha johnson,9815114698,west bengal,386.74,sprinkler,unknown
436,ananya brown,(304) 215-5373,florida,407.8,rainfed,unknown
440,maria garcia,9870653856,california,307.81,rainfed,unknown
442,rohan gupta,+91-9417083474,tamil nadu,359.93,canal,unknown
448,ananya verma,+91-8510344404,texas,357.07,flood,unknown
456,vikram wang,+15005359199,texas,273.35,rainfed,unknown
462,ananya kim,+16387477161,california,49.26,drip,unknown
475,maria joshi,918104859209,telangana,16.03,rainfed,unknown
480,kenji li,+91-9523544601,karnataka,362.33,sprinkler,unknown
481,vikram iyer,+91-8141061631,karnataka,221.49,flood,unknown
489,maria verma,(976) 215-8242,telangana,412.99,flood,unknown
505,deepika zhang,9506591492,florida,207.12,canal,unknown
512,kavya joshi,+91-8641164996,florida,310.62,flood,unknown
520,kenji johnson,+91-9508206630,gujarat,453.39,canal,unknown
531,suresh sharma,919142583570,telangana,299.24,canal,unknown
532,deepika joshi,9969213633,maharashtra,418.36,sprinkler,unknown
535,emma jones,+91-9481410408,new york,341.52,flood,unknown
536,vikram nair,+91-9929043451,delhi,228.14,rainfed,unknown
538,pooja kumar,+91-7214984350,gujarat,328.73,rainfed,unknown
547,kenji kim,+16647966997,maharashtra,486.42,canal,unknown
548,amit singh,+91-7687277131,telangana,273.32,sprinkler,unknown
565,olivia smith,9947065292,delhi,254.9,sprinkler,unknown
577,deepika verma,+17499007911,delhi,430.29,canal,unknown
580,pooja brown,9696375451,florida,78.77,unknown,unknown
582,neha verma,9231438674,delhi,492.19,rainfed,unknown
590,emma iyer,+17521574706,karnataka,13.37,canal,unknown
591,rohan lopez,(358) 349-1181,maharashtra,301.5,sprinkler,unknown
598,vikram park,918799379844,west bengal,445.41,flood,unknown
600,olivia kim,(226) 657-9243,texas,60.06,sprinkler,unknown
607,suresh kumar,9909793450,texas,386.54,rainfed,unknown
608,fatima lopez,918627896226,west bengal,274.04,canal,unknown
615,ananya martinez,+91-7724920873,florida,444.68,rainfed,unknown
620,chen nair,(669) 694-9695,gujarat,319.25,drip,unknown
623,noah kim,+91-8033064575,maharashtra,357.56,sprinkler,unknown
628,james smith,+17690840338,tamil nadu,319.98,canal,unknown
633,ava zhang,+91-9727126280,new york,142.2,sprinkler,unknown
640,neha zhang,+12939273906,telangana,210.31,canal,unknown
641,yuki kim,+91-8160009475,gujarat,101.65,canal,unknown
651,olivia jones,919974318428,telangana,76.95,flood,unknown
670,kavya gupta,(966) 700-4909,florida,165.44,rainfed,unknown
686,rahul williams,9906485898,florida,46.13,canal,unknown
688,amit joshi,(468) 870-1716,texas,218.22,canal,unknown
689,priya brown,9891768287,telangana,246.29,sprinkler,unknown
692,chen zhang,+91-9666840768,karnataka,114.85,rainfed,unknown
693,aiko iyer,+91-7001826450,delhi,418.4,sprinkler,unknown
701,arjun nair,9538648106,florida,368.42,unknown,unknown
707,arjun johnson,+91-7702351130,florida,375.28,rainfed,unknown
709,neha williams,+91-8565395590,florida,12.27,flood,unknown
711,ananya iyer,9466861620,california,328.02,rainfed,unknown
713,james verma,+91-9057645200,karnataka,460.14,sprinkler,unknown
715,kavya zhang,+91-9872059406,gujarat,177.72,sprinkler,unknown
716,fatima joshi,(247) 371-1764,delhi,475.85,drip,unknown
726,ava iyer,+17160130616,delhi,39.97,rainfed,unknown
729,olivia verma,+17837750715,florida,441.79,rainfed,unknown
745,kavya johnson,+16272662401,rajasthan,251.81,flood,unknown
751,rohan zhang,(989) 217-3157,telangana,180.44,sprinkler,unknown
760,vikram wang,+16065874618,gujarat,42.76,canal,unknown
762,wei nair,+91-8025848040,texas,308.09,canal,unknown
765,pooja gupta,9994021723,karnataka,239.5,rainfed,unknown
768,yuki iyer,+16378897250,telangana,329.45,flood,unknown
770,maria patel,+91-7254050242,florida,83.57,unknown,unknown
775,rohan brown,+91-7599012878,west bengal,234.83,sprinkler,unknown
797,sneha wang,(430) 878-1391,new york,70.88,sprinkler,unknown
808,maria wang,(296) 177-3837,maharashtra,449.18,drip,unknown
809,rohan park,+15007703496,delhi,406.9,flood,unknown
811,neha kim,+91-7916767782,new york,443.23,sprinkler,unknown
818,yuki zhang,9571300394,texas,-1,flood,unknown
825,rahul sharma,+91-8429741545,new york,154.96,rainfed,unknown
826,kavya verma,+12046013658,telangana,378.36,rainfed,unknown
827,wei jones,(581) 150-8289,maharashtra,382.76,canal,unknown
834,ananya joshi,9245499507,karnataka,166.7,flood,unknown
835,aiko li,9564610221,texas,101.15,drip,unknown
841,pooja kim,9943355412,new york,54.02,sprinkler,unknown
850,noah martinez,+91-8196236688,telangana,233.33,drip,unknown
855,yuki reddy,(691) 424-8172,california,454.1,rainfed,unknown
856,hiroshi lopez,+91-8054691486,tamil nadu,373.1,canal,unknown
862,maria verma,9200425438,west bengal,461.32,drip,unknown
868,neha jones,917943648387,gujarat,407.52,drip,unknown
871,rohan patel,+91-9263423553,gujarat,68.05,canal,unknown
878,rahul brown,+91-7703137348,florida,435.94,sprinkler,unknown
879,rahul smith,(613) 606-7423,delhi,370.52,canal,unknown
880,hiroshi lee,+91-7440945979,delhi,295.46,sprinkler,unknown
889,ananya joshi,9553406703,new york,351.46,drip,unknown
895,james williams,+91-8642499969,maharashtra,490.93,sprinkler,unknown
899,aarav williams,(480) 290-2185,tamil nadu,171.73,canal,unknown
911,james jones,+91-8821535426,west bengal,218.96,unknown,unknown
914,fatima joshi,9635995339,rajasthan,309.62,canal,unknown
925,amit brown,9381187374,california,2.01,rainfed,unknown
930,noah garcia,(599) 542-8964,karnataka,278.12,canal,unknown
935,pooja johnson,9644910429,west bengal,313.96,unknown,unknown
957,noah lopez,+91-9123672672,west bengal,90.91,canal,unknown
961,vikram kumar,917693240407,texas,46.22,flood,unknown
963,kenji nair,917065564085,karnataka,247.75,flood,unknown
976,ava verma,+91-8644143640,telangana,204.56,sprinkler,unknown
989,neha joshi,+91-9477024187,new york,128.33,canal,unknown
990,maria kim,+17690586036,rajasthan,88.57,flood,unknown
991,yuki gupta,+91-8135630752,west bengal,445.12,drip,unknown
999,mohammed zhang,+91-7469757271,gujarat,452.67,canal,unknown
1000,noah lopez,+13441885203,karnataka,61.6,rainfed,unknown
5,emma park,+91-7529134603,maharashtra,485.26,flood,acc431566236
11,maria davis,+91-8512262814,west bengal,336.69,sprinkler,acc295592600
13,fatima iyer,(812) 669-5957,california,37.24,sprinkler,acc649346184
14,ananya kim,unknown,tamil nadu,375.72,rainfed,acc781709238
16,aiko singh,9133638909,tamil nadu,133.81,canal,acc740217455
18,pooja kumar,917842596463,maharashtra,317.28,rainfed,acc797491567
23,amit gupta,919821425004,delhi,184.95,canal,acc481965491
32,kenji patel,9844282675,telangana,181.51,drip,acc970033152
38,rohan martinez,+91-9936270190,karnataka,62.3,rainfed,acc878467127
53,maria smith,9286540798,telangana,286.24,sprinkler,acc584269758
54,amit reddy,9279985728,florida,142.16,flood,acc427433048
56,aiko joshi,+91-7175349675,california,194.58,flood,acc277717055
63,ava kumar,+91-7094722138,gujarat,53.09,canal,acc822338560
66,deepika verma,+91-9373125180,delhi,248.93,canal,acc236898372
69,suresh jones,9115757330,delhi,1.7,rainfed,acc188277453
73,noah patel,+91-7980921834,texas,135.52,canal,acc830019941
85,james johnson,9236000225,rajasthan,93.87,canal,acc702273090
93,kenji gupta,(461) 294-7701,rajasthan,433,canal,acc737145946
95,liam gupta,918535039783,rajasthan,480.71,flood,acc709693334
97,maria singh,917442848340,maharashtra,83.34,canal,acc658989359
101,deepika davis,9214116346,texas,259.17,drip,acc635113900
116,ananya joshi,+15771668447,florida,288.81,rainfed,acc775802340
117,rohan jones,+91-8286935835,california,283.55,flood,acc654106607
119,sanya joshi,+91-9307297845,west bengal,217.62,flood,acc445412088
140,sanya wang,917446067759,west bengal,324.05,sprinkler,acc798159850
142,mohammed verma,+91-9959514082,west bengal,246.12,sprinkler,acc196196930
145,sanya nair,9379227306,new york,349.17,sprinkler,acc805755528
147,yuki lee,+91-7948077113,california,462.63,rainfed,acc337846288
163,emma joshi,(461) 362-7797,texas,361.43,drip,acc141236478
164,aiko martinez,+91-7712956019,delhi,111.07,rainfed,acc652551736
172,fatima joshi,+91-7135758499,rajasthan,140.49,rainfed,acc994208112
175,aiko davis,+16595445202,tamil nadu,4.82,sprinkler,acc638365746
179,sanya li,9535483467,tamil nadu,92.83,sprinkler,acc877285193
181,wei li,(672) 578-9990,west bengal,186.04,canal,acc757935627
182,sanya lopez,(791) 594-3573,california,451.88,flood,acc369500245
200,neha jones,918375287158,karnataka,391.57,sprinkler,acc303254688
212,neha park,9133762178,texas,271.42,flood,acc561182856
218,vikram zhang,9705996048,gujarat,87.57,canal,acc160295233
220,kenji johnson,(755) 544-9781,florida,7.48,sprinkler,acc741788034
224,carlos lee,+15357318383,rajasthan,26.17,rainfed,acc867086835
230,james joshi,9215199298,tamil nadu,1.23,rainfed,acc973445722
233,james reddy,9941320010,gujarat,329.54,drip,acc379928189
236,olivia martinez,+91-7743119417,west bengal,354.45,drip,acc767358227
244,rahul martinez,(499) 328-1260,rajasthan,414.56,drip,acc856536169
250,hiroshi nair,+91-9026619818,telangana,65.15,rainfed,acc418834823
251,pooja lopez,+91-9959516353,west bengal,2.12,canal,acc609739937
256,james lopez,9674728951,delhi,25.32,sprinkler,acc944535636
259,arjun johnson,(520) 880-3328,texas,395.02,sprinkler,acc625760268
262,deepika kumar,+91-9951641896,west bengal,230.37,drip,acc668470639
270,kenji wang,+91-7461987266,maharashtra,387.12,canal,acc204737143
278,pooja kim,+91-8412567022,delhi,145,rainfed,acc395367757
282,aiko davis,9842907564,telangana,35.74,rainfed,acc945977779
283,kenji sharma,+91-8637172044,maharashtra,381.52,drip,acc190857278
285,emma verma,+15378136348,florida,263.93,canal,acc923457281
286,rajesh gupta,+91-8965966430,maharashtra,497.98,sprinkler,acc145525938
294,james williams,+13349520652,maharashtra,202.45,canal,acc916682551
304,deepika johnson,+91-8729583790,rajasthan,291.95,canal,acc805515115
309,kenji nair,(437) 592-5432,new york,69.85,flood,acc903198056
321,emma sharma,(324) 125-3861,california,390.67,canal,acc822461359
322,rohan williams,(772) 518-1964,new york,234.51,sprinkler,acc609878648
330,sanya wang,+91-8810260574,karnataka,297.93,flood,acc996855665
332,ava park,9963253924,new york,237.21,drip,acc683607365
345,deepika smith,(305) 898-1009,tamil nadu,118.82,drip,acc730973185
355,arjun sharma,9405868991,west bengal,402.55,rainfed,acc893591521
361,sneha reddy,+13442901923,telangana,215.59,rainfed,acc510080647
362,rajesh martinez,+91-9666419146,new york,457.86,sprinkler,acc811351419
368,amit kumar,+91-7492792161,gujarat,480.41,sprinkler,acc752345646
376,wei kumar,+91-7534096713,gujarat,236.96,rainfed,acc879843942
378,olivia wang,+16665282168,maharashtra,496.42,rainfed,acc990984536
383,aiko nair,+91-9472425483,california,180.23,canal,acc389681290
384,kavya verma,9520319196,maharashtra,225.63,sprinkler,acc647995021
387,fatima kim,(701) 764-6841,gujarat,444.72,canal,acc933740434
394,priya lee,9626185609,karnataka,177.84,flood,acc405914283
399,rajesh brown,+19784571082,maharashtra,383.81,canal,acc292328206
406,noah joshi,+14981061686,west bengal,442.47,canal,acc483835319
415,yuki reddy,919138041259,rajasthan,28.11,rainfed,acc982037826
416,maria zhang,+91-7737094702,gujarat,451.41,sprinkler,acc250744532
423,deepika lopez,+91-9643379009,new york,397.06,rainfed,acc749768545
430,deepika kim,+91-9656838221,rajasthan,213.39,rainfed,acc259282036
438,mohammed jones,(739) 913-5453,gujarat,108.63,sprinkler,acc337788280
439,maria joshi,+18932918676,telangana,289.28,drip,acc257094543
446,liam smith,+91-7033398761,texas,475.4,flood,acc651556552
451,arjun zhang,9333938966,west bengal,121.84,sprinkler,acc234584825
452,olivia smith,9340679204,karnataka,121.41,flood,acc300090358
455,sanya johnson,(257) 723-5113,tamil nadu,282.04,canal,acc556627686
463,aiko lopez,9158991475,rajasthan,247.65,unknown,acc869717305
464,aiko lee,+15678283177,california,147.82,drip,acc103453156
466,amit kumar,(376) 135-3023,delhi,120.89,rainfed,acc414810099
478,vikram kim,+15623419999,telangana,379.21,rainfed,acc496380758
486,amit kumar,+13577057265,karnataka,56.99,flood,acc656979150
494,rohan lee,+15525124272,gujarat,440.76,flood,acc973747588
500,yuki iyer,+91-8930433133,rajasthan,267.01,sprinkler,acc143196903
501,noah williams,(803) 479-2051,telangana,155.48,flood,acc845468581
503,aarav davis,(254) 519-5307,gujarat,321.85,rainfed,acc817574519
504,rahul jones,9461520057,rajasthan,410.35,sprinkler,acc441657038
511,rajesh davis,9888711273,west bengal,320.37,flood,acc310651631
523,kavya johnson,+91-9208164608,telangana,317.76,drip,acc609100656
524,kenji gupta,(755) 967-6895,gujarat,392.6,drip,acc832439838
526,neha park,+91-9698368671,karnataka,384.97,sprinkler,acc429231539
530,emma joshi,9763058835,karnataka,-1,canal,acc231209747
539,chen iyer,9893241702,telangana,306.92,flood,acc378136629
545,rahul zhang,+91-7791358038,florida,209.18,canal,acc716155960
552,deepika li,9509101740,karnataka,454.56,rainfed,acc514072155
563,rohan joshi,+91-9584578987,new york,328.23,sprinkler,acc285883220
564,deepika iyer,(880) 968-8618,telangana,272.2,canal,acc940579514
568,hiroshi lopez,919634553380,tamil nadu,241.64,drip,acc381845323
571,rohan williams,+19881613396,california,15.76,drip,acc871499847
572,pooja sharma,(570) 826-6542,california,267.66,drip,acc215888950
578,sanya gupta,+18669434032,delhi,11.29,rainfed,acc447139568
579,arjun lopez,+91-9255144687,california,274.2,canal,acc746238494
587,sanya lee,+18012542291,texas,447.44,rainfed,acc133019941
593,rajesh li,+19268052606,rajasthan,28.39,drip,acc542912257
595,amit sharma,+16288096184,telangana,270.8,flood,acc797246172
604,vikram williams,+91-9813993829,karnataka,356.08,sprinkler,acc352896071
611,kavya sharma,(849) 838-9249,telangana,133.22,canal,acc612029610
617,olivia verma,+91-8822500704,delhi,347.87,sprinkler,acc243333651
618,sneha wang,+91-9658873790,rajasthan,43.77,drip,acc621805357
621,carlos gupta,(415) 446-8029,tamil nadu,257.34,canal,acc705756297
626,pooja iyer,9109145241,florida,220.09,drip,acc444675176
634,aiko singh,(931) 878-6812,tamil nadu,322.58,flood,acc391709937
